Pong
Episode Number,Episode Steps,Reward,Score,Epsilon
1668,2274,16.0,16.0,0.05
1669,2623,11.0,11.0,0.05
1670,3251,-1.0,-1.0,0.05
1671,3319,9.0,9.0,0.05
1672,2809,11.0,11.0,0.05
1673,2368,13.0,13.0,0.05
1674,2679,9.0,9.0,0.05
1675,2492,13.0,13.0,0.05
1676,3079,6.0,6.0,0.05
1677,2147,19.0,19.0,0.05
1678,2526,14.0,14.0,0.05
1679,2312,15.0,15.0,0.05
1680,2759,9.0,9.0,0.05
1681,2822,10.0,10.0,0.05
1682,2405,15.0,15.0,0.05
1683,2471,13.0,13.0,0.05
1684,2736,13.0,13.0,0.05
1685,2701,15.0,15.0,0.05
1686,2836,15.0,15.0,0.05
1687,2047,19.0,19.0,0.05
1688,2276,16.0,16.0,0.05
1689,2140,18.0,18.0,0.05
1690,2396,13.0,13.0,0.05
1691,2583,14.0,14.0,0.05
1692,2540,15.0,15.0,0.05
1693,3430,1.0,1.0,0.05
1694,2346,16.0,16.0,0.05
1695,2209,17.0,17.0,0.05
1696,3134,-4.0,-4.0,0.05
1697,3006,10.0,10.0,0.05
1698,2486,13.0,13.0,0.05
1699,3030,8.0,8.0,0.05
1700,2726,9.0,9.0,0.05
1701,2189,17.0,17.0,0.05
1702,3609,8.0,8.0,0.05
1703,2207,17.0,17.0,0.05
1704,2506,13.0,13.0,0.05
1705,2530,13.0,13.0,0.05
1706,2676,12.0,12.0,0.05
1707,2498,15.0,15.0,0.05
1708,2321,15.0,15.0,0.05
1709,2367,15.0,15.0,0.05
1710,2734,11.0,11.0,0.05
1711,2394,14.0,14.0,0.05
1712,2935,10.0,10.0,0.05
1713,2430,15.0,15.0,0.05
1714,2668,11.0,11.0,0.05
1715,2849,7.0,7.0,0.05
1716,2793,10.0,10.0,0.05
1717,2999,8.0,8.0,0.05
1718,3428,7.0,7.0,0.05
1719,3365,4.0,4.0,0.05
1720,2487,11.0,11.0,0.05
1721,2018,20.0,20.0,0.05
1722,2033,19.0,19.0,0.05
1723,2546,13.0,13.0,0.05
1724,3333,4.0,4.0,0.05
1725,2324,16.0,16.0,0.05
1726,2549,14.0,14.0,0.05
1727,2411,15.0,15.0,0.05
1728,2564,12.0,12.0,0.05
1729,2212,17.0,17.0,0.05
1730,2989,9.0,9.0,0.05
1731,3417,6.0,6.0,0.05
1732,2273,15.0,15.0,0.05
1733,2525,14.0,14.0,0.05
1734,2008,20.0,20.0,0.05
1735,2595,11.0,11.0,0.05
1736,2896,6.0,6.0,0.05
1737,2091,19.0,19.0,0.05
1738,2618,9.0,9.0,0.05
1739,3093,3.0,3.0,0.05
1740,2629,12.0,12.0,0.05
1741,2246,13.0,13.0,0.05
1742,2325,16.0,16.0,0.05
1743,2663,9.0,9.0,0.05
1744,2171,17.0,17.0,0.05
1745,3184,4.0,4.0,0.05
1746,2377,13.0,13.0,0.05
1747,2191,17.0,17.0,0.05
1748,2310,16.0,16.0,0.05
1749,2414,15.0,15.0,0.05
1750,2061,19.0,19.0,0.05
1751,2756,10.0,10.0,0.05
1752,2506,14.0,14.0,0.05
1753,2795,11.0,11.0,0.05
1754,2405,14.0,14.0,0.05
1755,2971,12.0,12.0,0.05
1756,2641,11.0,11.0,0.05
1757,2436,13.0,13.0,0.05
1758,2329,12.0,12.0,0.05
1759,2754,11.0,11.0,0.05
1760,2371,14.0,14.0,0.05
1761,2375,16.0,16.0,0.05
1762,2498,15.0,15.0,0.05
1763,2432,13.0,13.0,0.05
1764,2783,11.0,11.0,0.05
1765,2213,17.0,17.0,0.05
1766,2503,14.0,14.0,0.05
1767,2974,10.0,10.0,0.05
1768,3134,8.0,8.0,0.05
1769,2323,15.0,15.0,0.05
1770,2135,18.0,18.0,0.05
1771,3177,8.0,8.0,0.05
1772,2875,14.0,14.0,0.05
1773,3030,8.0,8.0,0.05
1774,2408,14.0,14.0,0.05
1775,2317,16.0,16.0,0.05
1776,2324,16.0,16.0,0.05
1777,2429,12.0,12.0,0.05
1778,3015,5.0,5.0,0.05
1779,2859,10.0,10.0,0.05
1780,2441,11.0,11.0,0.05
1781,2270,13.0,13.0,0.05
1782,2418,15.0,15.0,0.05
1783,3548,2.0,2.0,0.05
1784,2244,15.0,15.0,0.05
1785,2338,14.0,14.0,0.05
1786,3003,13.0,13.0,0.05
1787,3096,11.0,11.0,0.05
1788,2328,16.0,16.0,0.05
1789,2539,14.0,14.0,0.05
1790,2754,11.0,11.0,0.05
1791,2217,17.0,17.0,0.05
1792,2702,12.0,12.0,0.05
1793,2679,13.0,13.0,0.05
1794,2554,11.0,11.0,0.05
1795,2763,12.0,12.0,0.05
1796,2468,13.0,13.0,0.05
1797,3320,9.0,9.0,0.05
1798,2909,11.0,11.0,0.05
1799,2322,17.0,17.0,0.05
1800,2374,15.0,15.0,0.05
1801,2519,12.0,12.0,0.05
1802,2588,10.0,10.0,0.05
1803,2383,15.0,15.0,0.05
1804,2303,15.0,15.0,0.05
1805,2279,15.0,15.0,0.05
1806,2710,11.0,11.0,0.05
1807,2367,13.0,13.0,0.05
1808,2716,6.0,6.0,0.05
1809,2346,15.0,15.0,0.05
1810,2651,9.0,9.0,0.05
1811,2292,13.0,13.0,0.05
1812,2216,18.0,18.0,0.05
1813,2688,9.0,9.0,0.05
1814,2322,15.0,15.0,0.05
1815,3244,4.0,4.0,0.05
1816,2304,15.0,15.0,0.05
1817,2189,15.0,15.0,0.05
1818,2626,11.0,11.0,0.05
1819,2482,15.0,15.0,0.05
1820,2886,7.0,7.0,0.05
1821,2754,12.0,12.0,0.05
1822,2332,12.0,12.0,0.05
1823,2039,21.0,21.0,0.05
1824,2233,17.0,17.0,0.05
1825,2244,15.0,15.0,0.05
1826,2220,18.0,18.0,0.05
1827,2643,10.0,10.0,0.05
1828,2047,19.0,19.0,0.05
1829,2312,16.0,16.0,0.05
1830,2118,18.0,18.0,0.05
1831,2320,17.0,17.0,0.05
1832,2353,-7.0,-7.0,0.05
1833,2636,12.0,12.0,0.05
1834,2506,11.0,11.0,0.05
1835,2608,11.0,11.0,0.05
1836,2622,12.0,12.0,0.05
1837,2414,13.0,13.0,0.05
1838,1951,21.0,21.0,0.05
1839,2079,19.0,19.0,0.05
1840,2245,16.0,16.0,0.05
1841,2804,9.0,9.0,0.05
1842,2338,15.0,15.0,0.05
1843,2757,7.0,7.0,0.05
1844,2464,12.0,12.0,0.05
1845,2443,10.0,10.0,0.05
1846,2441,12.0,12.0,0.05
1847,2441,12.0,12.0,0.05
1848,2426,14.0,14.0,0.05
1849,2166,17.0,17.0,0.05
1850,2848,8.0,8.0,0.05
1851,2118,16.0,16.0,0.05
1852,2726,8.0,8.0,0.05
1853,2554,11.0,11.0,0.05
1854,2552,12.0,12.0,0.05
1855,2430,15.0,15.0,0.05
1856,2386,15.0,15.0,0.05
1857,2010,19.0,19.0,0.05
1858,2248,17.0,17.0,0.05
1859,2335,18.0,18.0,0.05
1860,2084,19.0,19.0,0.05
1861,2778,8.0,8.0,0.05
1862,2369,15.0,15.0,0.05
1863,2297,15.0,15.0,0.05
1864,2582,12.0,12.0,0.05
1865,2368,15.0,15.0,0.05
1866,2661,12.0,12.0,0.05
1867,2394,14.0,14.0,0.05
1868,2365,17.0,17.0,0.05
1869,2955,11.0,11.0,0.05
1870,3140,3.0,3.0,0.05
1871,2411,16.0,16.0,0.05
1872,2368,15.0,15.0,0.05
1873,2147,14.0,14.0,0.05
1874,2244,16.0,16.0,0.05
1875,2154,18.0,18.0,0.05
1876,2791,9.0,9.0,0.05
1877,2482,13.0,13.0,0.05
1878,2473,11.0,11.0,0.05
1879,2495,13.0,13.0,0.05
1880,1998,20.0,20.0,0.05
1881,2577,8.0,8.0,0.05
1882,2655,7.0,7.0,0.05
1883,2094,17.0,17.0,0.05
1884,2579,11.0,11.0,0.05
1885,2538,12.0,12.0,0.05
1886,2420,10.0,10.0,0.05
1887,2429,14.0,14.0,0.05
1888,2767,9.0,9.0,0.05
1889,2290,17.0,17.0,0.05
1890,2626,11.0,11.0,0.05
1891,2264,15.0,15.0,0.05
1892,2023,19.0,19.0,0.05
1893,2441,12.0,12.0,0.05
1894,2531,8.0,8.0,0.05
1895,3043,-1.0,-1.0,0.05
1896,2773,8.0,8.0,0.05
1897,2768,8.0,8.0,0.05
1898,2142,17.0,17.0,0.05
1899,2343,12.0,12.0,0.05
1900,2232,16.0,16.0,0.05
1901,2354,10.0,10.0,0.05
1902,2205,17.0,17.0,0.05
1903,2425,13.0,13.0,0.05
1904,2351,16.0,16.0,0.05
1905,2800,4.0,4.0,0.05
1906,2791,7.0,7.0,0.05
1907,2546,13.0,13.0,0.05
1908,2636,10.0,10.0,0.05
1909,2310,17.0,17.0,0.05
1910,2395,13.0,13.0,0.05
1911,2369,13.0,13.0,0.05
1912,2281,17.0,17.0,0.05
1913,2810,7.0,7.0,0.05
1914,2479,12.0,12.0,0.05
1915,2797,11.0,11.0,0.05
1916,2417,15.0,15.0,0.05
1917,2218,14.0,14.0,0.05
1918,2055,19.0,19.0,0.05
1919,2195,15.0,15.0,0.05
1920,3050,7.0,7.0,0.05
1921,2055,19.0,19.0,0.05
1922,1976,20.0,20.0,0.05
1923,2409,11.0,11.0,0.05
1924,2294,16.0,16.0,0.05
1925,2324,12.0,12.0,0.05
1926,2933,7.0,7.0,0.05
1927,2571,9.0,9.0,0.05
1928,2712,7.0,7.0,0.05
1929,2644,6.0,6.0,0.05
1930,3142,8.0,8.0,0.05
1931,2749,9.0,9.0,0.05
1932,2760,11.0,11.0,0.05
1933,2433,12.0,12.0,0.05
1934,3267,5.0,5.0,0.05
1935,2758,7.0,7.0,0.05
1936,2454,10.0,10.0,0.05
1937,2584,10.0,10.0,0.05
1938,2682,8.0,8.0,0.05
1939,2189,17.0,17.0,0.05
1940,2332,18.0,18.0,0.05
1941,2173,16.0,16.0,0.05
1942,2246,16.0,16.0,0.05
1943,2686,6.0,6.0,0.05
1944,2837,9.0,9.0,0.05
1945,2710,11.0,11.0,0.05
