Breakout,,,,,
Episode Number,Episode Steps,Cumulative Steps,Reward,Score,Epsilon
734,315,178237,5,5,0.1
735,241,178478,3,3,0.1
736,326,178804,5,5,0.1
737,181,178985,2,2,0.1
738,246,179231,4,7,0.1
739,214,179445,3,3,0.1
740,246,179691,4,4,0.1
741,246,179937,4,7,0.1
742,215,180152,3,3,0.1
743,295,180447,5,5,0.1
744,300,180747,5,8,0.1
745,267,181014,5,11,0.1
746,292,181306,5,5,0.1
747,319,181625,5,8,0.1
748,270,181895,5,11,0.1
749,263,182158,4,7,0.1
750,399,182557,6,6,0.1
751,275,182832,5,8,0.1
752,340,183172,5,5,0.1
753,280,183452,4,7,0.1
754,450,183902,8,8,0.1
755,218,184120,3,3,0.1
756,351,184471,6,9,0.1
757,282,184753,4,4,0.1
758,325,185078,6,9,0.1
759,338,185416,6,9,0.1
760,296,185712,5,5,0.1
761,324,186036,6,6,0.1
762,322,186358,5,5,0.1
763,296,186654,5,8,0.1
764,267,186921,5,11,0.1
765,276,187197,4,7,0.1
766,275,187472,4,7,0.1
767,250,187722,4,7,0.1
768,291,188013,5,8,0.1
769,250,188263,4,7,0.1
770,319,188582,6,12,0.1
771,300,188882,5,8,0.1
772,331,189213,5,5,0.1
773,244,189457,4,4,0.1
774,313,189770,5,5,0.1
775,248,190018,4,7,0.1
776,427,190445,8,8,0.1
777,126,190571,0,0,0.1
778,342,190913,6,9,0.1
779,185,191098,2,2,0.1
780,250,191348,3,3,0.1
781,296,191644,5,5,0.1
782,246,191890,4,4,0.1
783,202,192092,2,2,0.1
784,253,192345,4,7,0.1
785,247,192592,4,4,0.1
786,379,192971,7,7,0.1
787,257,193228,4,7,0.1
788,303,193531,4,7,0.1
789,340,193871,6,12,0.1
790,313,194184,6,6,0.1
791,247,194431,4,7,0.1
792,218,194649,2,2,0.1
793,307,194956,5,5,0.1
794,305,195261,5,5,0.1
795,236,195497,3,3,0.1
796,385,195882,7,7,0.1
797,270,196152,5,11,0.1
798,230,196382,3,3,0.1
799,271,196653,5,5,0.1
800,218,196871,3,3,0.1
801,283,197154,4,7,0.1
802,293,197447,5,5,0.1
803,352,197799,6,9,0.1
804,248,198047,4,7,0.1
805,312,198359,6,6,0.1
806,214,198573,3,3,0.1
807,282,198855,3,3,0.1
808,280,199135,5,11,0.1
809,245,199380,4,7,0.1
810,248,199628,4,4,0.1
811,271,199899,4,4,0.1
812,380,200279,8,14,0.1
813,263,200542,4,4,0.1
814,268,200810,5,11,0.1
815,247,201057,4,7,0.1
816,251,201308,4,7,0.1
817,249,201557,4,7,0.1
818,246,201803,4,7,0.1
819,215,202018,3,3,0.1
820,253,202271,3,3,0.1
821,267,202538,4,4,0.1
822,259,202797,4,7,0.1
823,281,203078,5,8,0.1
824,246,203324,3,3,0.1
825,212,203536,3,3,0.1
826,323,203859,6,9,0.1
827,214,204073,3,3,0.1
828,361,204434,6,6,0.1
829,255,204689,4,7,0.1
830,311,205000,5,5,0.1
831,229,205229,3,3,0.1
832,324,205553,6,9,0.1
833,276,205829,5,11,0.1
834,261,206090,4,7,0.1
835,294,206384,5,8,0.1
836,340,206724,5,11,0.1
837,271,206995,4,4,0.1
838,285,207280,5,8,0.1
839,331,207611,5,8,0.1
840,384,207995,7,7,0.1
841,254,208249,4,4,0.1
842,270,208519,5,11,0.1
843,456,208975,9,12,0.1
844,269,209244,4,4,0.1
845,276,209520,5,8,0.1
846,283,209803,6,12,0.1
847,215,210018,3,3,0.1
848,284,210302,4,7,0.1
849,183,210485,2,2,0.1
850,325,210810,5,8,0.1
851,269,211079,5,11,0.1
852,391,211470,8,8,0.1
853,269,211739,5,11,0.1
854,248,211987,4,7,0.1
855,414,212401,5,8,0.1
856,300,212701,6,12,0.1
857,276,212977,5,11,0.1
858,329,213306,6,6,0.1
859,314,213620,5,8,0.1
860,287,213907,5,11,0.1
861,302,214209,5,11,0.1
862,400,214609,8,11,0.1
863,305,214914,5,11,0.1
864,275,215189,5,8,0.1
865,250,215439,4,4,0.1
866,214,215653,3,3,0.1
867,271,215924,5,11,0.1
868,267,216191,5,11,0.1
869,299,216490,5,8,0.1
870,305,216795,6,12,0.1
871,266,217061,3,3,0.1
872,256,217317,4,4,0.1
873,393,217710,7,10,0.1
874,304,218014,5,8,0.1
875,266,218280,4,4,0.1
876,247,218527,4,7,0.1
877,306,218833,6,9,0.1
