Seaquest
Episode Number,Episode Steps,Reward,Score,Epsilon
2198,1752,32.0,640.0,0.05
2199,1567,25.0,520.0,0.05
2200,2104,35.0,700.0,0.05
2201,1237,21.0,440.0,0.05
2202,1640,26.0,520.0,0.05
2203,741,14.0,280.0,0.05
2204,790,11.0,220.0,0.05
2205,1012,21.0,420.0,0.05
2206,766,10.0,200.0,0.05
2207,1094,18.0,360.0,0.05
2208,1178,21.0,420.0,0.05
2209,1002,15.0,320.0,0.05
2210,1364,23.0,460.0,0.05
2211,1448,21.0,420.0,0.05
2212,809,13.0,260.0,0.05
2213,836,11.0,240.0,0.05
2214,760,9.0,180.0,0.05
2215,992,16.0,320.0,0.05
2216,1408,22.0,440.0,0.05
2217,845,12.0,240.0,0.05
2218,964,12.0,240.0,0.05
2219,1223,17.0,340.0,0.05
2220,1255,20.0,400.0,0.05
2221,851,13.0,260.0,0.05
2222,1157,21.0,420.0,0.05
2223,1499,23.0,460.0,0.05
2224,1049,18.0,360.0,0.05
2225,823,13.0,260.0,0.05
2226,1238,21.0,420.0,0.05
2227,788,11.0,220.0,0.05
2228,840,11.0,220.0,0.05
2229,1028,18.0,360.0,0.05
2230,1021,18.0,380.0,0.05
2231,1407,22.0,460.0,0.05
2232,1424,23.0,460.0,0.05
2233,1448,27.0,540.0,0.05
2234,1016,14.0,280.0,0.05
2235,827,13.0,260.0,0.05
2236,1050,17.0,340.0,0.05
2237,483,5.0,100.0,0.05
2238,870,16.0,320.0,0.05
2239,1216,21.0,420.0,0.05
2240,830,14.0,300.0,0.05
2241,2024,35.0,700.0,0.05
2242,1595,28.0,560.0,0.05
2243,1024,15.0,300.0,0.05
2244,1120,18.0,360.0,0.05
2245,1208,19.0,380.0,0.05
2246,2280,38.0,760.0,0.05
2247,794,12.0,240.0,0.05
2248,809,11.0,220.0,0.05
2249,1085,17.0,340.0,0.05
2250,1248,22.0,440.0,0.05
2251,1264,21.0,420.0,0.05
2252,1105,18.0,360.0,0.05
2253,1563,27.0,540.0,0.05
2254,2161,41.0,820.0,0.05
2255,2024,35.0,700.0,0.05
2256,1800,31.0,620.0,0.05
2257,1101,17.0,340.0,0.05
2258,2024,37.0,740.0,0.05
2259,2026,35.0,700.0,0.05
2260,2232,41.0,820.0,0.05
2261,1626,29.0,580.0,0.05
2262,1112,15.0,300.0,0.05
2263,895,15.0,300.0,0.05
2264,1760,30.0,600.0,0.05
2265,1509,24.0,500.0,0.05
2266,1344,22.0,440.0,0.05
2267,2280,43.0,860.0,0.05
2268,2240,41.0,820.0,0.05
2269,1701,28.0,560.0,0.05
2270,1303,23.0,480.0,0.05
